DBNLti_id	DBNLpers_id	YearFirstPublished	YearEditionPublished	Edition	Woman	Born	Died	AuthorOrigin	DBNLgeb_land_code	DBNLgenre	DBNLsubgenre	Author	Title	Filename	ti_id_set	WPAuthor	AuthorInCanon2002	TitleInCanon2002	InBasisbibliotheek2008	AuthorDBRDMatches	AuthorNLWikipedia2019Matches	DBNLSecRefsAuthor	DBNLSecRefsTitle	holding	lending	GNTpages
kist001leve01	kist001	1800	1800	1ste druk	0	1758	1841	Woerden		proza	roman	Willem Kist	Het leven, gevoelens en zonderlinge reize van den landjonker Govert Hendrik Godefroi van Blankenheim tot den Stronk (2 delen)	kist001leve01_01.xml	kist001leve01		0	0	0	0	1	19	1	0	0	4
wolf016gesc01	deke001	1802	1802	1ste druk	1	1741	1804	Amstelveen		proza	roman	Aagje Deken	Geschrift eener bejaarde vrouw	wolf016gesc01_01.xml	wolf016gesc01	Aagje Deken	1	0	0	1	21	131	6	0	0	0
stre001char01	stre001	1804	1804	1ste druk	1	1760	1828	Amsterdam		proza	briefroman	Naatje van Streek-Brinkman	Charakters en lotgevallen van Adelson, Héloïse en Elius	stre001char01_01.xml	stre001char01		0	0	0	0	0	13	0	0	0	0
daal002will01	daal002	1805	1805	1ste druk	0	1758	1818	Amsterdam		proza	roman	Bruno Daalberg	Willem Hups. Eene anecdote uit de XVII eeuw; ongelooflijk zelfs in de onze	daal002will01_01.xml	daal002will01	Petrus de Wacker van Zon	0	0	0	0	0	19	2	0	0	2
loos005hist01	loos005	1806	1806	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	briefroman	Adriaan Loosjes	Historie van Mejuffrouw Susanna Bronkhorst. Deel 1	loos005hist01_01.xml	loos005hist01	Adriaan Loosjes	0	0	0	0	6	68	3	0	0	4
loos005hist02	loos005	1806	1806	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	briefroman	Adriaan Loosjes	Historie van Mejuffrouw Susanna Bronkhorst. Deel 2	loos005hist02_01.xml	loos005hist02	Adriaan Loosjes	0	0	0	0	6	68	0	0	0	4
loos005hist03	loos005	1806	1806	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	briefroman	Adriaan Loosjes	Historie van Mejuffrouw Susanna Bronkhorst. Deel 3	loos005hist03_01.xml	loos005hist03	Adriaan Loosjes	0	0	0	0	6	68	0	0	0	4
loos005hist04	loos005	1807	1807	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	briefroman	Adriaan Loosjes	Historie van Mejuffrouw Susanna Bronkhorst. Deel 4	loos005hist04_01.xml	loos005hist04	Adriaan Loosjes	0	0	0	0	6	68	0	0	0	4
loos005hist05	loos005	1807	1807	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	briefroman	Adriaan Loosjes	Historie van Mejuffrouw Susanna Bronkhorst. Deel 5	loos005hist05_01.xml	loos005hist05	Adriaan Loosjes	0	0	0	0	6	68	0	0	0	4
loos005hist06	loos005	1807	1807	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	briefroman	Adriaan Loosjes	Historie van Mejuffrouw Susanna Bronkhorst. Deel 6	loos005hist06_01.xml	loos005hist06	Adriaan Loosjes	0	0	0	0	6	68	0	0	0	4
loos005leve01	loos005	1808	1808	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	roman	Adriaan Loosjes	Het leven van Maurits Lijnslager	loos005leve01_01.xml	loos005leve01	Adriaan Loosjes	0	0	0	0	6	68	8	0	0	4
loos005leve02	loos005	1814	1814	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	roman	Adriaan Loosjes	Het leven van Hillegonda Buisman	loos005leve02_01.xml	loos005leve02	Adriaan Loosjes	0	0	0	0	6	68	2	0	0	4
broe009jell03	broe009	1815	1992	1ste druk	0	1767	1826	Gent		proza	roman	Karel Broeckaert	Jellen en Mietje	broe009jell03_01.xml	broe009jell03,broe009jell01	Karel Broeckaert	0	0	0	0	1	6	3	0	0	4
moen006dank01	moen006	1815	1815	1ste druk	1	1762	1843	Kubaard		proza,jeugdliteratuur	roman	Petronella Moens	De dankbare Willem, of Het huisgezin van den heer Lausbach	moen006dank01_01.xml	moen006dank01	Petronella Moens	0	0	0	0	6	90	0	0	0	8
loos005leve03	loos005	1816	1816	1ste druk	0	1761	1818	Den Hoorn (Texel)		proza	roman	Adriaan Loosjes	Het leven van Johannes Wouter Blommesteyn	loos005leve03_01.xml	loos005leve03	Adriaan Loosjes	0	0	0	0	6	68	1	0	0	4
daal002janp01	daal002	1817	1817	1ste druk	0	1758	1818	Amsterdam		proza	roman	Bruno Daalberg	Jan Perfect of De weg der volmaking, vertoond in het leven en de zonderlinge lotgevallen van een voornaam wijsgeer	daal002janp01_01.xml	daal002janp01	Petrus de Wacker van Zon	0	0	0	0	0	19	2	0	0	2
mast002wilh01	mast002	1818	1818	1ste druk	1	1788	1826	Sneek		proza	roman	Fenna Mastenbroek	Wilhelmina Noordkerk. Eene geschiedenis ter aanprijzing van oud vaderlandsche zeden, voor Nederlandsche vrouwen en meisjes	mast002wilh01_01.xml	mast002wilh01	Fenna Mastenbroek	0	0	0	0	0	10	0	0	0	0
moen006jong02	moen006	1820	1837	2de druk	1	1762	1843	Kubaard		proza	roman	Petronella Moens	De jonge Sofia	moen006jong02_01.xml	moen006jong01,moen006jong02	Petronella Moens	0	0	0	0	6	90	0	0	0	8
moen006mevr01	moen006	1824	1824	1ste druk	1	1762	1843	Kubaard		proza,jeugdliteratuur	roman	Petronella Moens	Mevrouw Veltman en hare voedsterlingen	moen006mevr01_01.xml	moen006mevr01	Petronella Moens	0	0	0	0	6	90	0	0	0	8
neuf002klei01	neuf002	1824	1824	1ste druk	1	1775	1856	Amsterdam		proza	briefroman	Margaretha Jacoba de Neufville	De kleine pligten (4 delen)	neuf002klei01_01.xml	neuf002klei01	Margaretha Jacoba de Neufville	0	0	0	0	0	1	1	4	0	6
neuf002schi01	neuf002	1829	1829	1ste druk	1	1775	1856	Amsterdam		proza	historische roman	Margaretha Jacoba de Neufville	De schildknaap	neuf002schi01_01.xml	neuf002schi01	Margaretha Jacoba de Neufville	0	0	0	0	0	1	4	0	0	6
dros003herm01	dros003	1832	1939	1ste druk	0	1810	1834	Amsterdam		proza	historische roman,roman (populair/bestseller)	Aernout Drost	Hermingard van de Eikenterpen	dros003herm01_01.xml	dros003herm01	Aarnout Drost	0	0	1	0	1	41	16	0	0	7
hall003gede01	hall003	1832	1832	1ste druk	0	1768	1858	Vianen		proza	roman,satire	M.C. van Hall	Gedenkschriften van en door Frank Floriszoon van Arkel	hall003gede01_01.xml	hall003gede01	Maurits Cornelis van Hall	0	0	0	0	16	35	1	0	0	3
lenn006plee01	lenn006	1833	1833	1ste druk	0	1802	1868	Amsterdam		proza	roman	Jacob van Lennep	De pleegzoon (2 delen)	lenn006plee01_01.xml	lenn006plee01	Jacob van Lennep	1	0	0	3	77	198	8	0	0	19
schu025gala01	schu025	1833	1833	1ste druk	0	1783	1836	Amsterdam		proza	roman	Jan Ernst Schut	Galama of de bevrijding van Vriesland	schu025gala01_01.xml	schu025gala01		0	0	0	0	0	8	0	0	0	0
beet005jose01	beet005	1834	1838	2de druk	0	1814	1903	Haarlem		proza	historische roman	Nicolaas Beets	Jose, een Spaansch verhaal	beet005jose01_01.xml	beet005jose02,beet005jose01	Nicolaas Beets	1	0	0	1	57	250	4	0	0	2
oltm001slot06	oltm001	1834	1887	7de druk	0	1806	1854	Den Haag		proza	historische roman	J.F. Oltmans	Kompleete werken. Het slot Loevestein in 1570. Deel 1	oltm001slot06_01.xml	oltm001slot04,oltm001slot06	Jan Frederik Oltmans	0	0	0	0	6	14	0	4	3	3
oltm001slot07	oltm001	1834	1887	7de druk	0	1806	1854	Den Haag		proza	historische roman	J.F. Oltmans	Kompleete werken. Het slot Loevestein in 1570. Deel 2	oltm001slot07_01.xml	oltm001slot05,oltm001slot07	Jan Frederik Oltmans	0	0	0	0	6	14	0	3	3	3
beet005kuse01	beet005	1835	1835	1ste druk	0	1814	1903	Haarlem		proza	roman	Nicolaas Beets	Kuser	beet005kuse01_01.xml	beet005kuse01	Nicolaas Beets	1	0	0	1	57	250	3	0	0	2
bure003magd01	bure003	1835	1835	1ste druk	0	1801	1874	Amsterdam		proza	historische roman	Anne Diederik van Buren Schele	Magdalena Moons, of het Beleg van Leyden	bure003magd01_01.xml	bure003magd01		0	0	0	0	0	12	1	0	0	1
lenn006roos01	lenn006	1836	2003	1ste druk	0	1802	1868	Amsterdam		proza	roman	Jacob van Lennep	De roos van Dekama	lenn006roos01_01.xml	lenn006roos01,lenn006roos03	Jacob van Lennep	1	1	1	3	77	198	13	34	152	19
neuf002elis01	neuf002	1836	1836	1ste druk	1	1775	1856	Amsterdam		proza	roman	Margaretha Jacoba de Neufville	Elisabeth Basmooth, of eene Engelsche plant op Hollandschen bodem. Deel 1	neuf002elis01_01.xml	neuf002elis01	Margaretha Jacoba de Neufville	0	0	0	0	0	1	0	0	0	6
